Date,Platform,Campaign name,Ad set name,Ad name,Impressions,Clicks,Conversions
2025-01-02,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,11570,56.0,10.0
2025-01-02,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_Employability_NA_En_StaticImage_Mar_24,737,4.0,
2025-01-02,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,1195,6.0,1.0
2025-01-03,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,13554,61.0,11.0
2025-01-03,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_Employability_NA_En_StaticImage_Mar_24,257,3.0,
2025-01-03,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,583,3.0,
2025-01-04,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,15454,56.0,7.0
2025-01-04,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_Employability_NA_En_StaticImage_Mar_24,189,,
2025-01-04,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,506,6.0,2.0
2025-01-05,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,19335,66.0,7.0
2025-01-05,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,272,4.0,1.0
2025-01-05,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_26,1194,4.0,2.0
2025-01-06,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,10499,42.0,9.0
2025-01-06,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_Employability_NA_En_StaticImage_Mar_24,370,8.0,2.0
2025-01-06,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,533,4.0,
2025-01-06,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,12036,54.0,2.0
2025-01-07,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_Employability_NA_En_StaticImage_Mar_24,474,1.0,
2025-01-07,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,380,2.0,
2025-01-08,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,12624,44.0,3.0
2025-01-08,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_Employability_NA_En_StaticImage_Mar_24,338,1.0,
2025-01-09,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,517,1.0,
2025-01-09,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,11646,39.0,9.0
2025-01-09,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_Employability_NA_En_StaticImage_Mar_24,293,3.0,1.0
2025-01-10,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,588,4.0,1.0
2025-01-10,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,12000,600.0,60.0
2025-01-10,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_25,435,3.0,
2025-01-10,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,449,2.0,
2025-01-11,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,8848,45.0,11.0
2025-01-11,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_Employability_NA_En_StaticImage_Mar_24,356,,
2025-01-11,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,409,1.0,
2025-01-12,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_GrantsAndScholarships_NA_En_StaticImage_May_24,12517,46.0,11.0
2025-01-12,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_Employability_NA_En_StaticImage_Mar_24,366,4.0,1.0
2025-01-12,FBIG,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,_CampusLife_NA_En_StaticImage_Mar_24,547,3.0,
