"Reporting starts","Reporting ends","Ad name","Campaign name","Ad set name",Impressions,"Link clicks","Landing page views","Amount spent (AED)",Leads
2025-01-15,2025-01-15,_GrantsAndScholarships_NA_En_StaticImage_May_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,11755,51,,111.18,9
2025-01-15,2025-01-15,_Employability_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,317,1,,2.97,
2025-01-15,2025-01-15,_CampusLife_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,480,3,,11.36,1
2025-01-14,2025-01-14,_GrantsAndScholarships_NA_En_StaticImage_May_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,12522,49,,121.39,7
2025-01-14,2025-01-14,_Employability_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,465,1,,4.1,1
2025-01-14,2025-01-14,_CampusLife_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,325,1,,12.64,1
2025-01-13,2025-01-13,_GrantsAndScholarships_NA_En_StaticImage_May_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,11373,56,,126.19,6
2025-01-13,2025-01-13,_Employability_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,529,3,,5.23,
2025-01-13,2025-01-13,_CampusLife_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,359,5,,7.48,1
2025-01-12,2025-01-12,_GrantsAndScholarships_NA_En_StaticImage_May_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,12517,46,,133.84,11
2025-01-12,2025-01-12,_Employability_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,366,4,,4.27,1
2025-01-12,2025-01-12,_CampusLife_NA_En_StaticImage_Mar_24,B021_NA_NA_NA_FBIG_PH003_BT004_NA_Mar_24,AUS_NA_NA_NA_UAE_NA_NA_FBIG_INTR_NA_En_MF_18to45_NA_Mar_24,547,3,,10.16,
