Product,Platform,Market,Impressions,Reach,Clicks,Views
OfficePrinters,LinkedIn,UAE,21391,10876,0,13690
OfficePrinters,LinkedIn,KSA,16902,6728,0,12810
OfficePrinters,LinkedIn,Turkey,73871,54713,0,23684
OfficePrinters,LinkedIn,South Africa,49290,35543,0,22954
OfficePrinters,LinkedIn,Morocco,75266,44475,0,22308
OfficePrinters,Search,UAE,7612,0,353,0
OfficePrinters,Search,KSA,7266,0,213,0
OfficePrinters,Search,Turkey,11264,0,911,0
OfficePrinters,Search,South Africa,6136,0,470,0
OfficePrinters,Search,Morocco,7716,0,286,0
TseriesPrinters,LinkedIn,UAE,75742,9420,140,0
TseriesPrinters,LinkedIn,Turkey,21169,9552,180,0
TseriesPrinters,LinkedIn,South Africa,21937,11869,48,0
HomePrinters,META,South Africa,750802,188171,989,176029
HomePrinters,YouTube,South Africa,302060,251717,0,172713
