Date,Campaign,Adgroup,Adname,Product,Market,Platform,Phase,KPI,Language,Keyword,Creative_name,Creative_type,Impressions,Clicks,Reach,Views,Spends
1/15/2025,B032_SB176_P223_R005_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_KSA_NA_NA_LinkedIn_INTR_NA_En_MF_25+_NA_Jan_25,_BIOffice_NA_NA_En_Video_Jan_25,OfficePrinters,KSA,LinkedIn,Consideration,Views,En,Other,BIOffice,Video,2001,3,873,1297,14.1
1/15/2025,B032_SB176_P223_R014_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_MOROC_NA_NA_LinkedIn_INTR_NA_Fr_MF_25+_NA_Jan_25,_BIOffice_NA_Fr_Video_Jan_25,OfficePrinters,Morocco,LinkedIn,Consideration,Views,Fr,Other,BIOffice,Video,2474,7,2474,809,10.98
1/15/2025,B032_SB176_P223_R019_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_SouthAfrica_NA_NA_LinkedIn_INTR_NA_Sa_MF_25+_NA_Jan_25,_BIOffice_NA_NA_En_Video_Jan_25,OfficePrinters,South Africa,LinkedIn,Consideration,Views,En,Other,BIOffice,Video,3182,1,1693,2097,44.4
1/15/2025,B032_SB176_P223_R020_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_Tr_NA_NA_LinkedIn_INTR_NA_Tr_MF_25+_NA_Jan_25,_BIOffice_NA_NA_Tr_Video_Jan_25,OfficePrinters,Turkey,LinkedIn,Consideration,Views,Tr,Other,BIOffice,Video,7979,15,6425,3467,48.21
1/17/2025,B032_SB176_P223_R005_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_KSA_NA_NA_LinkedIn_INTR_NA_Ar_MF_25+_NA_Jan_25,_BIOffice_NA_NA_Ar_Video_Jan_25,OfficePrinters,KSA,LinkedIn,Consideration,Views,Ar,Other,BIOffice,Video,2810,16,773,2182,22.8
1/17/2025,B032_SB176_P223_R005_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_KSA_NA_NA_LinkedIn_INTR_NA_En_MF_25+_NA_Jan_25,_BIOffice_NA_NA_En_Video_Jan_25,OfficePrinters,KSA,LinkedIn,Consideration,Views,En,Other,BIOffice,Video,1010,2,973,422,16.84
1/17/2025,B032_SB176_P223_R006_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_UAE_NA_NA_LinkedIn_INTR_NA_Ar_MF_25+_NA_Jan_25,_BIOffice_NA_NA_Ar_Video_Jan_25,OfficePrinters,UAE,LinkedIn,Consideration,Views,Ar,Other,BIOffice,Video,1725,8,639,989,18.52
1/17/2025,B032_SB176_P223_R014_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_MOROC_NA_NA_LinkedIn_INTR_NA_Fr_MF_25+_NA_Jan_25,_BIOffice_NA_Fr_Video_Jan_25,OfficePrinters,Morocco,LinkedIn,Consideration,Views,Fr,Other,BIOffice,Video,1397,7,1397,522,101.87
1/17/2025,B032_SB176_P223_R019_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_SouthAfrica_NA_NA_LinkedIn_INTR_NA_Sa_MF_25+_NA_Jan_25,_BIOffice_NA_NA_En_Video_Jan_25,OfficePrinters,South Africa,LinkedIn,Consideration,Views,En,Other,BIOffice,Video,3623,7,3620,1601,81.1
1/17/2025,B032_SB176_P223_R020_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_Tr_NA_NA_LinkedIn_INTR_NA_Tr_MF_25+_NA_Jan_25,_BIOffice_NA_NA_Tr_Video_Jan_25,OfficePrinters,Turkey,LinkedIn,Consideration,Views,Tr,Other,BIOffice,Video,12730,39,11807,4470,87.25
1/18/2025,B032_SB176_P223_R005_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_KSA_NA_NA_LinkedIn_INTR_NA_Ar_MF_25+_NA_Jan_25,_BIOffice_NA_NA_Ar_Video_Jan_25,OfficePrinters,KSA,LinkedIn,Consideration,Views,Ar,Other,BIOffice,Video,6629,29,3827,3568,50.32
1/18/2025,B032_SB176_P223_R005_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_KSA_NA_NA_LinkedIn_INTR_NA_En_MF_25+_NA_Jan_25,_BIOffice_NA_NA_En_Video_Jan_25,OfficePrinters,KSA,LinkedIn,Consideration,Views,En,Other,BIOffice,Video,2900,8,2555,1169,33.9
1/18/2025,B032_SB176_P223_R006_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_UAE_NA_NA_LinkedIn_INTR_NA_Ar_MF_25+_NA_Jan_25,_BIOffice_NA_NA_Ar_Video_Jan_25,OfficePrinters,UAE,LinkedIn,Consideration,Views,Ar,Other,BIOffice,Video,3597,7,869,2780,31.65
1/18/2025,B032_SB176_P223_R014_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_MOROC_NA_NA_LinkedIn_INTR_NA_Fr_MF_25+_NA_Jan_25,_BIOffice_NA_Fr_Video_Jan_25,OfficePrinters,Morocco,LinkedIn,Consideration,Views,Fr,Other,BIOffice,Video,9341,36,8591,2706,98.93
1/18/2025,B032_SB176_P223_R019_LinkedIn_PH006_BT003_NA_Jan_25,Epson_BI  _OfficePrinters_NA_SouthAfrica_NA_NA_LinkedIn_INTR_NA_Sa_MF_25+_NA_Jan_25,_BIOffice_NA_NA_En_Video_Jan_25,OfficePrinters,South Africa,LinkedIn,Consideration,Views,En,Other,BIOffice,Video,14630,28,13011,5253,82.13
